Type,ID,ParentReqID,Principle,Title,FullText,Category,AIVSS_Primary,AIVSS_Secondary,ASI_ID,Confidence,Review_Priority,Rationale
Requirement,A001,,Data & Privacy,A001: Establish input data policy,"Establish and communicate AI input data policies covering how customer data is used for model training, inference processing, data retention periods, and customer data rights",,Agent Memory & Context Manipulation,Agent Untraceability,,High,OK,"Input data policies govern how data enters agent memory and context, directly addressing manipulation risks. Policies also support audit."
Control,A001.1,A001,Data & Privacy,"A001.1 Documentation: Policy for input data ownership, usage and retention","- Defining and communicating input data usage policies. Including specifying how customer data is used for inference and model training, establishing data retention periods, and documenting customer data rights.",Legal Policies,Agent Untraceability,,,Medium,OK,Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.
Control,A001.2,A001,Data & Privacy,A001.2 Config: Data retention implementation,"- Implementing technical controls to enforce data retention and deletion policies. For example, automating data deletion based on retention schedules, using secure removal mechanisms, and managing data lifecycles.",Technical Implementation,Agent Untraceability,,,Medium,P2,"Detected cues: rag, tool, audit, rce. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated."
Control,A001.3,A001,Data & Privacy,A001.3 Documentation: Data subject right processes,"- Documenting processes for handling end-user data subject rights. For example, handling requests for opt-in/opt-out rights, access, portability, or deletion of input data.",Legal Policies,Agent Untraceability,Agent Memory & Context Manipulation,,Medium,OK,Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Memory & Context Manipulation.
Requirement,A002,,Data & Privacy,A002: Establish output data policy,"Establish AI output ownership, usage, opt-out and deletion policies to customers and communicate these policies",,Agent Untraceability,,,High,OK,"Output data policies establish ownership and accountability for AI-generated content, directly supporting traceability."
Control,A002.1,A002,Data & Privacy,A002.1 Documentation: Output usage and ownership policy,"- Establishing output ownership and usage rights policies. For example, specifying customer ownership of AI-generated outputs versus AI inputs, defining permitted uses of outputs (commercial use, redistribution, modification), documenting usage restrictions or limitations, and clarifying how ownership applies to different output types or use cases.
- Disclosing opt-out and deletion procedures for AI outputs. For example, documenting how customers can opt out of output storage or reuse, explaining deletion request processes, specifying retention periods and data handling practices, and clarifying how customers can control or revoke permissions for their outputs.",Legal Policies,Agent Untraceability,,,Medium,OK,Detected cues: rag. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.
Requirement,A003,,Data & Privacy,A003: Limit AI agent data collection,Implement safeguards to limit AI agent data access to task-relevant information based on user roles and context,,Agent Memory & Context Manipulation,,ASI06,High,OK,Detected cues: context. ASI label inferred: ASI06 (Memory & Context Poisoning). Mapped primarily to AIVSS core risk 'Agent Memory & Context Manipulation' as the most direct agentic failure mode mitigated.
Control,A003.1,A003,Data & Privacy,A003.1 Config: Data collection scoping,"- Configuring data collection limits to reduce data and privacy exposure. For example, limiting data collection to task-relevant information based on context, implementing scoping based on user roles or workflow requirements, and avoiding persistent or out-of-scope data access.",Technical Implementation,Agent Memory & Context Manipulation,,ASI06,High,OK,"Detected cues: rag, context, eval. ASI label inferred: ASI06 (Memory & Context Poisoning). Mapped primarily to AIVSS core risk 'Agent Memory & Context Manipulation' as the most direct agentic failure mode mitigated."
Control,A003.2,A003,Data & Privacy,A003.2 Config: Alerting system for auth failures,- Deploying monitoring mechanisms. Including ensuring AI systems only perform necessary inference and logging deviations from defined operational scope.,Technical Implementation,Agent Untraceability,Agent Memory & Context Manipulation,ASI06,High,P1,"Detected cues: context, logging. ASI label inferred: ASI06 (Memory & Context Poisoning). Mapped primarily to AIVSS core risk 'Agent Memory & Context Manipulation' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Memory & Context Manipulation, Agent Untraceability. ASI→AIVSS bridge used to resolve ambiguity via Appendix A alignment."
Control,A003.3,A003,Data & Privacy,A003.3 Config: Authorization system integration,"- Integrating with existing authorization systems to align agent access permissions with organizational policies.
",Technical Implementation,Agent Access Control Violation,Agentic AI Tool Misuse,ASI06,High,P1,"Detected cues: context, tool, integration, oauth. ASI label inferred: ASI06 (Memory & Context Poisoning). Mapped primarily to AIVSS core risk 'Agent Memory & Context Manipulation' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Memory & Context Manipulation, Agentic AI Tool Misuse. ASI→AIVSS bridge used to resolve ambiguity via Appendix A alignment."
Requirement,A004,,Data & Privacy,A004: Protect IP & trade secrets,Implement safeguards or technical controls to prevent AI systems from leaking company intellectual property or confidential information,,Agent Access Control Violation,,,Medium,P2,Mapped primarily to AIVSS core risk 'Agent Access Control Violation' as the most direct agentic failure mode mitigated.
Control,A004.1,A004,Data & Privacy,A004.1 Documentation: User guidance on confidential information,"- Providing user guidance on protecting confidential information. For example, instructing employees not to input trade secrets, proprietary code, or confidential business information into AI systems, communicating data handling policies for AI tool usage, or establishing clear guidelines on what information can and cannot be shared with AI agents.",Technical Implementation,Agent Access Control Violation,Agent Untraceability,,Medium,P1,Detected cues: tool. Mapped primarily to AIVSS core risk 'Agent Access Control Violation' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Untraceability.
Control,A004.2,A004,Data & Privacy,A004.2 Documentation: foundational model IP protections,"- Leveraging foundation model provider protections. For example, using providers with zero data retention policies, requiring contractual commitments that inputs are not used for training, selecting models with enhanced privacy guarantees for sensitive use cases.",Legal Policies,Agent Supply Chain & Dependency Risk,Agent Access Control Violation,,Medium,P1,Detected cues: rag. Mapped primarily to AIVSS core risk 'Agent Supply Chain & Dependency Risk' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Access Control Violation.
Control,A004.3,A004,Data & Privacy,A004.3 Config: IP detection implementation,- Implementing technical controls to detect proprietary information in outputs.,Technical Implementation,Agent Access Control Violation,Agent Untraceability,ASI03,Medium,P2,"Detected cues: api, label. ASI label inferred: ASI03 (Identity & Privilege Abuse). Mapped primarily to AIVSS core risk 'Agent Access Control Violation' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Untraceability."
Control,A004.4,A004,Data & Privacy,A004.4 Config: IP disclosure monitoring,"- Establishing output monitoring for high-risk IP scenarios. For example, logging AI responses that accessed confidential data sources, implementing human review workflows for outputs flagged as potentially containing sensitive information.",Technical Implementation,Agent Untraceability,,ASI09,High,OK,"Detected cues: logging, audit, rce, disclosure, approval. ASI label inferred: ASI09 (Human-Agent Trust Exploitation). Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated."
Requirement,A005,,Data & Privacy,A005: Prevent cross-customer data exposure,Implement safeguards to prevent cross-customer data exposure when combining customer data from multiple sources,,Agent Access Control Violation,Agent Memory & Context Manipulation,,Medium,OK,"Detected cues: cross-customer, rce. Mapped primarily to AIVSS core risk 'Agent Access Control Violation' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Memory & Context Manipulation."
Control,A005.1,A005,Data & Privacy,A005.1 Documentation: Consent for combined data usage,"- Establishing explicit consent and disclosure for combined data usage. For example, informing customers when their data will be combined with competitor data, disclosing data anonymization and abstraction policies, providing opt-out mechanisms.",Legal Policies,Agent Untraceability,Agent Access Control Violation,,Medium,P1,"Detected cues: cross-customer, rce, consent, disclosure. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Access Control Violation."
