ControlID,RequirementID,Principle,Category,EvidenceTitle,ControlText,TypicalEvidence,Control_Function,Control_Type,AIVSS_Primary,AIVSS_Secondary,ASI_ID,ASI_Title,Bridge_Used,Confidence,Rationale,Review_Priority,Review_Checks_Failed,Review_Change_Flag,Review_Change_Notes
A001.1,A001,Data & Privacy,Legal Policies,"A001.1 Documentation: Policy for input data ownership, usage and retention","- Defining and communicating input data usage policies. Including specifying how customer data is used for inference and model training, establishing data retention periods, and documenting customer data rights.","Typically demonstrated by Terms of Service, Privacy Policy or Data Processing Agreement",Prevent,Policy,Agent Untraceability,,,,N,Medium,Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.,OK,,,
A001.2,A001,Data & Privacy,Technical Implementation,A001.2 Config: Data retention implementation,"- Implementing technical controls to enforce data retention and deletion policies. For example, automating data deletion based on retention schedules, using secure removal mechanisms, and managing data lifecycles.","Screenshot of automated deletion implementation or data lifecycle system - may include cron job or scheduled task deleting expired data, deletion script in Python/Bash with retention period logic, data lifecycle management tool configuration (e.g., AWS S3 lifecycle rules, database TTL settings), or deletion audit logs from database or storage system.",Detect,Technical,Agent Untraceability,,,,N,Medium,"Detected cues: rag, tool, audit, rce. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.",P2,ToolCueMismatch,,
A001.3,A001,Data & Privacy,Legal Policies,A001.3 Documentation: Data subject right processes,"- Documenting processes for handling end-user data subject rights. For example, handling requests for opt-in/opt-out rights, access, portability, or deletion of input data.","May be included in DPA, GDPR appendix, External Privacy Policy or similar internal or external policies documenting processes for data handling",Prevent,Policy,Agent Untraceability,Agent Memory & Context Manipulation,,,N,Medium,Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Memory & Context Manipulation.,OK,,,
A002.1,A002,Data & Privacy,Legal Policies,A002.1 Documentation: Output usage and ownership policy,"- Establishing output ownership and usage rights policies. For example, specifying customer ownership of AI-generated outputs versus AI inputs, defining permitted uses of outputs (commercial use, redistribution, modification), documenting usage restrictions or limitations, and clarifying how ownership applies to different output types or use cases.
- Disclosing opt-out and deletion procedures for AI outputs. For example, documenting how customers can opt out of output storage or reuse, explaining deletion request processes, specifying retention periods and data handling practices, and clarifying how customers can control or revoke permissions for their outputs.","Typically demonstrated by Terms of Service, Data Processing Agreement, Master Service Agreement, Privacy Policy, or AI Addendum. May be a combination of these policies.",Respond,Policy,Agent Untraceability,,,,N,Medium,Detected cues: rag. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.,OK,,,
A003.1,A003,Data & Privacy,Technical Implementation,A003.1 Config: Data collection scoping,"- Configuring data collection limits to reduce data and privacy exposure. For example, limiting data collection to task-relevant information based on context, implementing scoping based on user roles or workflow requirements, and avoiding persistent or out-of-scope data access.","Code implementing data collection restrictions - may include RAG retrieval function with document filtering logic, session scoping configuration limiting data access per session ID, workflow conditional logic gating data collection by stage, permission decorators or middleware checking user roles before data access, or scoping functions rejecting out-of-scope queries with error messages.",Prevent,Technical,Agent Memory & Context Manipulation,,ASI06,Memory & Context Poisoning,N,High,"Detected cues: rag, context, eval. ASI label inferred: ASI06 (Memory & Context Poisoning). Mapped primarily to AIVSS core risk 'Agent Memory & Context Manipulation' as the most direct agentic failure mode mitigated.",OK,,,
A003.2,A003,Data & Privacy,Technical Implementation,A003.2 Config: Alerting system for auth failures,- Deploying monitoring mechanisms. Including ensuring AI systems only perform necessary inference and logging deviations from defined operational scope.,"Screenshot of code showing an alert or error handling system is triggered upon authz check failure, or screenshot of alerting configurations in logging software (e.g. Posthog, Sentry, Datadog, Axiom, or downstream alert in Slack)",Detect,Technical,Agent Untraceability,Agent Memory & Context Manipulation,ASI06,Memory & Context Poisoning,Y,High,"Detected cues: context, logging. ASI label inferred: ASI06 (Memory & Context Poisoning). Mapped primarily to AIVSS core risk 'Agent Memory & Context Manipulation' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Memory & Context Manipulation, Agent Untraceability. ASI→AIVSS bridge used to resolve ambiguity via Appendix A alignment.",P1,BridgeUsed; AmbiguousTop2,Y,"Manual review: control is monitoring/logging to ensure limited collection; primary observability/traceability, secondary memory/context."
A003.3,A003,Data & Privacy,Technical Implementation,A003.3 Config: Authorization system integration,"- Integrating with existing authorization systems to align agent access permissions with organizational policies.
","Screenshot of code showing authorization checks when context is collected or before tool execution using existing authorization systems (e.g. oAuth, OSO, custom IAM) - should verify that authorization is checked at time of data collection/tool call, not just at initial agent invocation
",Prevent,Technical,Agent Access Control Violation,Agentic AI Tool Misuse,ASI06,Memory & Context Poisoning,Y,High,"Detected cues: context, tool, integration, oauth. ASI label inferred: ASI06 (Memory & Context Poisoning). Mapped primarily to AIVSS core risk 'Agent Memory & Context Manipulation' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Memory & Context Manipulation, Agentic AI Tool Misuse. ASI→AIVSS bridge used to resolve ambiguity via Appendix A alignment.",P1,BridgeUsed; AmbiguousTop2; ToolCueMismatch,Y,Manual review: control is about integrating authorization systems; primary should be access control.
A004.1,A004,Data & Privacy,Technical Implementation,A004.1 Documentation: User guidance on confidential information,"- Providing user guidance on protecting confidential information. For example, instructing employees not to input trade secrets, proprietary code, or confidential business information into AI systems, communicating data handling policies for AI tool usage, or establishing clear guidelines on what information can and cannot be shared with AI agents.","Policy document, training materials, or user guidelines instructing users on protecting confidential information when using AI systems.",Prevent,Policy,Agent Access Control Violation,Agent Untraceability,,,N,Medium,Detected cues: tool. Mapped primarily to AIVSS core risk 'Agent Access Control Violation' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Untraceability.,P1,AmbiguousTop2,,
A004.2,A004,Data & Privacy,Legal Policies,A004.2 Documentation: foundational model IP protections,"- Leveraging foundation model provider protections. For example, using providers with zero data retention policies, requiring contractual commitments that inputs are not used for training, selecting models with enhanced privacy guarantees for sensitive use cases.","Provider contracts, terms of service, or documentation showing IP protection commitments. Often found in third party's terms of use/service, DPA or AI Addendum/Schedule",Prevent,Policy,Agent Supply Chain & Dependency Risk,Agent Access Control Violation,,,N,Medium,Detected cues: rag. Mapped primarily to AIVSS core risk 'Agent Supply Chain & Dependency Risk' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Access Control Violation.,P1,AmbiguousTop2,,
A004.3,A004,Data & Privacy,Technical Implementation,A004.3 Config: IP detection implementation,- Implementing technical controls to detect proprietary information in outputs.,"Screenshot of code or configuration detecting proprietary information patterns in AI outputs - may include labelling proprietary files, filtering rules for internal identifiers/data labels/API keys, scanning logic for trade secret terminology, or rejection demonstrations showing appropriate responses to proprietary requests.",Prevent,Technical,Agent Access Control Violation,Agent Untraceability,ASI03,Identity & Privilege Abuse,N,Medium,"Detected cues: api, label. ASI label inferred: ASI03 (Identity & Privilege Abuse). Mapped primarily to AIVSS core risk 'Agent Access Control Violation' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Untraceability.",P2,WeakSignals,,
