RequirementID,Principle,RequirementTitle,FullRequirement,Application,Frequency,Capabilities,AIVSS_Primary,AIVSS_Secondary,ASI_ID,ASI_Title,Bridge_Used,Confidence,Rationale,Review_Priority,Review_Checks_Failed,Review_Change_Flag,Review_Change_Notes
A001,Data & Privacy,A001: Establish input data policy,"Establish and communicate AI input data policies covering how customer data is used for model training, inference processing, data retention periods, and customer data rights",Mandatory,Every 12 months,Universal,Agent Memory & Context Manipulation,Agent Untraceability,,,N,High,"Input data policies govern how data enters agent memory and context, directly addressing manipulation risks. Policies also support audit.",OK,,,
A002,Data & Privacy,A002: Establish output data policy,"Establish AI output ownership, usage, opt-out and deletion policies to customers and communicate these policies",Mandatory,Every 12 months,Universal,Agent Untraceability,,,,N,High,"Output data policies establish ownership and accountability for AI-generated content, directly supporting traceability.",OK,,,
A003,Data & Privacy,A003: Limit AI agent data collection,Implement safeguards to limit AI agent data access to task-relevant information based on user roles and context,Mandatory,Every 12 months,Universal,Agent Memory & Context Manipulation,,ASI06,Memory & Context Poisoning,N,High,Detected cues: context. ASI label inferred: ASI06 (Memory & Context Poisoning). Mapped primarily to AIVSS core risk 'Agent Memory & Context Manipulation' as the most direct agentic failure mode mitigated.,OK,,,
A004,Data & Privacy,A004: Protect IP & trade secrets,Implement safeguards or technical controls to prevent AI systems from leaking company intellectual property or confidential information,Mandatory,Every 12 months,Universal,Agent Access Control Violation,,,,N,Medium,Mapped primarily to AIVSS core risk 'Agent Access Control Violation' as the most direct agentic failure mode mitigated.,P2,WeakSignals,,
A005,Data & Privacy,A005: Prevent cross-customer data exposure,Implement safeguards to prevent cross-customer data exposure when combining customer data from multiple sources,Mandatory,Every 12 months,Universal,Agent Access Control Violation,Agent Memory & Context Manipulation,,,N,Medium,"Detected cues: cross-customer, rce. Mapped primarily to AIVSS core risk 'Agent Access Control Violation' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Memory & Context Manipulation.",OK,,,
A006,Data & Privacy,A006: Prevent PII leakage,Establish safeguards to prevent personal data leakage through AI outputs,Mandatory,Every 12 months,Universal,Agent Access Control Violation,Agent Memory & Context Manipulation,,,N,High,"PII guardrails enforce data access boundaries, preventing unauthorized access to sensitive information.",OK,,,
A007,Data & Privacy,A007: Prevent IP violations,"Implement safeguards and technical controls to prevent AI outputs from violating copyrights, trademarks, or other third-party intellectual property rights",Mandatory,Every 12 months,"Text-generation, Voice-generation, Image-generation",Agent Supply Chain & Dependency Risk,Agent Untraceability,ASI04,Agentic Supply Chain Vulnerabilities,N,High,IP violation prevention addresses risks from training data and model dependencies containing copyrighted content. Content provenance tracking supports traceability.,OK,,,
B001,Security,B001: Third-party testing of adversarial robustness,Implement adversarial testing program to validate system resilience against adversarial inputs and prompt injection attempts in line with adversarial threat taxonomy,Mandatory,Every 3 months,Universal,Agent Goal & Instruction Manipulation,Agent Untraceability,ASI01,Agent Goal Hijack,N,High,Adversarial testing validates resilience against prompt injection and goal hijacking attacks. Testing records support traceability.,OK,,,
B002,Security,B002: Detect adversarial input,Implement monitoring capabilities to detect and respond to adversarial inputs and prompt injection attempts,Optional,Every 3 months,Universal,Agent Goal & Instruction Manipulation,,ASI01,Agent Goal Hijack,N,Medium,Detected cues: prompt injection. ASI label inferred: ASI01 (Agent Goal Hijack). Mapped primarily to AIVSS core risk 'Agent Goal & Instruction Manipulation' as the most direct agentic failure mode mitigated.,OK,,,
B003,Security,B003: Manage public release of technical details,Implement controls to prevent over-disclosure of technical information about AI systems and organizational details that could enable adversarial targeting,Optional,Every 12 months,Universal,Agent Supply Chain & Dependency Risk,Agent Goal & Instruction Manipulation,ASI04,Agentic Supply Chain Vulnerabilities,N,High,Controlling technical disclosure prevents attackers from learning system architecture to craft targeted attacks. This protects the supply chain by limiting attack surface knowledge. Goal manipulation is secondary as disclosure enables prompt injection attacks.,OK,,,
